Product,Product SKU,Gross Sales,(Gross Sales %),Net Sales With Tax,Taxes,Discount Amount,Gross Sales Without Tax,Net Sales,(Net Sales %),Net Quantity,Cost,Return Amount,Return Quantity,Void Amount,Void Quantity,Profit
Pistachio Oat Cookie,PSN-163,1.35,0.29 %,1.35,0,0,1.35,1.35,0.3 %,1,0.3804,0,0,0,0,0.9696
Multi Mixed Nuts,PSN-133,0.35,0.08 %,0.35,0,0,0.35,0.35,0.08 %,1,0.2,0,0,0,0,0.15
Rawdatain | Sparkling Water,PWJ-102,1,0.22 %,1,0,0,1,1,0.22 %,2,0.3875,0,0,0,0,0.6125
Eva | Still Water,PWJ-101,8,1.72 %,8,0,0,8,8,1.79 %,16,2.16027,0,0,0,0,5.83973
QminC | Curcumin & Lemon,PWJ-105,4.9,1.05 %,4.9,0,0,4.9,4.9,1.1 %,7,2.78511,0,0,0,0,2.11489
QminC | Ginger with Honey,PWJ-107,0.7,0.15 %,0.7,0,0,0.7,0.7,0.16 %,1,0.42837,0,0,0,0,0.27163
Tower Drip (L),PIC-100,3.7,0.8 %,3.7,0,0,3.7,3.7,0.83 %,2,0.34252,0,0,0,0,3.35748
ICED | Latte (L),PIC-115,1.65,0.36 %,1.65,0,0,1.65,1.65,0.37 %,1,0.26667,0,0,0,0,1.38333
ICED | Salted Caramel (L),PIC-116,5.7,1.23 %,5.7,0,0,5.7,5.7,1.28 %,2,1.27556,0,0,0,0,4.42444
ICED | Black Spanish (L),PIC-102,22.65,4.88 %,22.65,0,0,22.65,22.65,5.07 %,8,4.2154,0,0,0,0,18.4346
ICED | Spanish Latte (L),PIC-111,42.4,9.13 %,42.4,0,0,42.4,42.4,9.49 %,19,6.92006,0,0,0,0,35.47994
ICED | Americano (L),PIC-105,11.9,2.56 %,11.12,0,0.78,11.9,11.12,2.49 %,8,1.54845,0,0,0,0,9.57155
Mafroka,PSN-152,1.5,0.32 %,1.5,0,0,1.5,1.5,0.34 %,1,0.23276,0,0,0,0,1.26724
Turkey Croissant,PCR-112,5.55,1.19 %,5.55,0,0,5.55,5.55,1.24 %,3,1.07695,0,0,0,0,4.47305
Saffron Milk Cake,PSN-151,5.25,1.13 %,5.25,0,0,5.25,5.25,1.18 %,3,0.86349,0,0,0,0,4.38651
Peanut Butter Protein Bar,PSN-144,1.25,0.27 %,1.25,0,0,1.25,1.25,0.28 %,1,0.72,0,0,0,0,0.53
Hazelnut Wafer Protein Bar,PSN-146,3.75,0.81 %,3.75,0,0,3.75,3.75,0.84 %,3,2.16,0,0,0,0,1.59
Double Chocolate Brownie,PSN-145,3.75,0.81 %,3.75,0,0,3.75,3.75,0.84 %,3,0.92794,0,0,0,0,2.82206
