id,modifier_reference,modifier_name,modifier_name_localized,tax_group_reference,name,sku,price,cost,calories,name_localized,is_active
95f31582-1bec-4049-b51b-6acf44681452,22,Extra,,,"White Mocha Sauce",MEX-004,0.2,,,,Yes
958c9601-9169-4b27-9408-bdffdebc11a2,11,Option,,,"More Sugar",MOP-001,0,,,"سكر زيادة",Yes
958c95c8-6233-40d3-ae9c-f2a825d186ac,11,Option,,,"No Sugar",MOP-002,0,,,"بدون سكر",Yes
958c958d-3c76-42c1-a1b7-4498deb2c237,11,Option,,,"Medium Sugar",MOP-003,0,,,وسط,Yes
92a8437b-4406-45c0-91d7-b2aea904ea59,15,Color,,,"Tumbler Yellow",MCO-004,0,,,"تمبلر أصفر",Yes
92a8434e-fbcd-4a9f-a370-0c36c10ed14d,15,Color,,,"Tumbler Pink",MCO-005,0,,,"تمبلر وردي",No
92a84326-9283-4537-bfa4-1b9fd13dc7be,15,Color,,,"Tumbler Green",MCO-006,0,,,"تمبلر أخضر",No
92a84309-18ef-4478-ba54-1d5ab843901d,15,Color,,,"Tumbler Black",MCO-007,0,,,"تمبلر أسود",No
9292f9bd-fa9d-444d-be5a-a0e49e8f43c5,22,Extra,,,"Black Ice Cubes",MEX-009,0.2,,,"مكعبات ثلج من القهوة",Yes
9292c24f-8721-42a5-8038-9e8dc011fcde,22,Extra,,,"Whipping Cream",MEX-011,0.25,,,"اضافة نكهة الكاكاو الأبيض",Yes
9291e235-ecaf-4532-98f9-e7d1297f656f,22,Extra,,,"Extra Matcha",MEX-013,0.5,,,ماتشا,Yes
9291e1cc-5ced-4ae6-9252-9b642a78f4aa,22,Extra,,,"Vanilla Syrup",MEX-001,0.2,,,فانيلا,Yes
