product_name,product_name_localized,product_sku,modifier_name,modifier_name_localized,modifier_reference,minimum_options,maximum_options,free_options,default_options,unique_options
HOT | Black Coffee (M),HOT | Black Coffee (M),HOT_BLACK_COFFEE_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
HOT | Black Coffee (M),HOT | Black Coffee (M),HOT_BLACK_COFFEE_M,Extra,اضافي,Extra,0,10,0,,1
HOT | Black Coffee (M),HOT | Black Coffee (M),HOT_BLACK_COFFEE_M,Delivery,ديليفري,Delivery,1,1,0,,1
HOT | Cappuccino (M),HOT | Cappuccino (M),HOT_CAPPUCCINO_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
HOT | Cappuccino (M),HOT | Cappuccino (M),HOT_CAPPUCCINO_M,Extra,اضافي,Extra,0,10,0,,1
HOT | Cappuccino (M),HOT | Cappuccino (M),HOT_CAPPUCCINO_M,Hot Milk,حليب ساخن,HOT_MILK,0,10,0,,1
HOT | Cappuccino (M),HOT | Cappuccino (M),HOT_CAPPUCCINO_M,Delivery,ديليفري,Delivery,1,1,0,,1
HOT | Latte (M),HOT | Latte (M),HOT_LATTE_M,Coffee | Shots,القهوة | الشوتس,COFFEE_SHOTS,0,10,0,,1
HOT | Latte (M),HOT | Latte (M),HOT_LATTE_M,Extra,اضافي,Extra,0,10,0,,1
HOT | Latte (M),HOT | Latte (M),HOT_LATTE_M,Hot Milk,حليب ساخن,HOT_MILK,0,10,0,,1
HOT | Latte (M),HOT | Latte (M),HOT_LATTE_M,Delivery,ديليفري,Delivery,1,1,0,,1
