product_name,product_name_localized,product_sku,modifier_name,modifier_name_localized,modifier_reference,minimum_options,maximum_options,free_options,default_options,unique_options
Fresh Apple Juice (L),Fresh Apple Juice (L),FRESH_APPLE_JUICE_L,Delivery,ديليفري,Delivery,1,1,0,,1
Fresh Carrot Juice (M),Fresh Carrot Juice (M),FRESH_CARROT_JUICE_M,Extra,اضافي,Extra,0,10,0,,1
Fresh Carrot Juice (M),Fresh Carrot Juice (M),FRESH_CARROT_JUICE_M,Delivery,ديليفري,Delivery,1,1,0,,1
Fresh Carrot Juice (L),Fresh Carrot Juice (L),FRESH_CARROT_JUICE_L,Extra,اضافي,Extra,0,10,0,,1
Fresh Carrot Juice (L),Fresh Carrot Juice (L),FRESH_CARROT_JUICE_L,Delivery,ديليفري,Delivery,1,1,0,,1
Fresh Lemon Juice (M),Fresh Lemon Juice (M),FRESH_LEMON_JUICE_M,Extra,اضافي,Extra,0,10,0,,1
Fresh Lemon Juice (M),Fresh Lemon Juice (M),FRESH_LEMON_JUICE_M,Delivery,ديليفري,Delivery,1,1,0,,1
Fresh Lemon Juice (L),Fresh Lemon Juice (L),FRESH_LEMON_JUICE_L,Extra,اضافي,Extra,0,10,0,,1
Fresh Lemon Juice (L),Fresh Lemon Juice (L),FRESH_LEMON_JUICE_L,Delivery,ديليفري,Delivery,1,1,0,,1
Soft Drinks - Pepsi,Soft Drinks - Pepsi,SOFT_DRINKS_PEPSI,Delivery,ديليفري,Delivery,1,1,0,,1
Soft Drinks - 7UP,Soft Drinks - 7UP,SOFT_DRINKS_7UP,Delivery,ديليفري,Delivery,1,1,0,,1
Soft Drinks - Mirinda,Soft Drinks - Mirinda,SOFT_DRINKS_MIRINDA,Delivery,ديليفري,Delivery,1,1,0,,1
Soft Drinks - Mountain Dew,Soft Drinks - Mountain Dew,SOFT_DRINKS_MOUNTAIN_DEW,Delivery,ديليفري,Delivery,1,1,0,,1
Water 500ml,Water 500ml,WATER_500ML,Delivery,ديليفري,Delivery,1,1,0,,1
Sparkling Water,Sparkling Water,SPARKLING_WATER,Delivery,ديليفري,Delivery,1,1,0,,1
Energy Drink - Red Bull,Energy Drink - Red Bull,ENERGY_DRINK_RED_BULL,Delivery,ديليفري,Delivery,1,1,0,,1
Energy Drink - Monster,Energy Drink - Monster,ENERGY_DRINK_MONSTER,Delivery,ديليفري,Delivery,1,1,0,,1
Croissant | Plain,Croissant | Plain,CROISSANT_PLAIN,Extra,اضافي,Extra,0,10,0,,1
Croissant | Plain,Croissant | Plain,CROISSANT_PLAIN,Delivery,ديليفري,Delivery,1,1,0,,1
Croissant | Chocolate,Croissant | Chocolate,CROISSANT_CHOCOLATE,Extra,اضافي,Extra,0,10,0,,1
Croissant | Chocolate,Croissant | Chocolate,CROISSANT_CHOCOLATE,Delivery,ديليفري,Delivery,1,1,0,,1
Croissant | Almond,Croissant | Almond,CROISSANT_ALMOND,Extra,اضافي,Extra,0,10,0,,1
Croissant | Almond,Croissant | Almond,CROISSANT_ALMOND,Delivery,ديليفري,Delivery,1,1,0,,1
Croissant | Feta Cheese,Croissant | Feta Cheese,CROISSANT_FETA_CHEESE,Extra,اضافي,Extra,0,10,0,,1
