id,name,sku,category_reference,tax_group_reference,is_sold_by_weight,is_active,is_stock_product,price,cost,barcode,description,preparation_time,calories,walking_minutes_to_burn_calories,is_high_salt,image,name_localized,description_localized
9d364a0a-c157-42ab-bc70-8371619f7eb9,"QminC | Manuka Honey Collagen",PWJ-106,9,,No,Yes,No,0.7,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1728566073_9d3650ad-2368-4fc0-8ca1-9cec7897a5e0.png,"شراب الكولاجين وعسل المانوكا - كيومن سي",
9d3649c3-ae7e-42a7-a76e-874ae05291b5,"QminC | Ginger with Honey",PWJ-107,9,,No,Yes,No,0.7,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1728566046_9d365083-d8b8-41ce-8d1d-e7dacbfdf2ab.png,"شراب الزنجبيل والعسل - كيومن سي",
9d364987-e0e8-4f59-a688-67228e251889,"QminC | Curcumin & Lemon",PWJ-105,9,,No,Yes,No,0.7,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1728566095_9d3650cf-1b52-4239-8e12-55be3c81c9d5.png,"شراب الليمون بالكركم - كيو من سي",
9d36490e-730c-4b41-9d64-1f839cae718c,"Hunter Chips | Black Truffle 40g",PSN-114,10,,No,Yes,No,0.75,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1728567538_9d365969-21bf-4409-97f0-b70d325b5ae2.jpg,"تيشبس هانتر - الكمأة السوداء 40 جرام",
9d3648d3-fdb2-4e7c-907c-58dad1b9b0bc,"Hunter Chips | Sea Salted 40g",PSN-113,10,,No,Yes,No,0.75,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1728567555_9d365982-9726-4e9d-b3b0-e2adf6c23d6d.jpeg,"تشيبس هانتر- ملح البحر -40غ",
9d36489a-274b-4dcb-aa99-d5d18486b5dc,"Eva | Still Water",PWJ-101,9,,No,Yes,No,0.5,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1728567567_9d365995-04c1-4a9a-8849-8bcf30926136.jpg,"ماء ايفا",
9d364860-e96e-42ec-a525-418750c2ee94,"Rawdatain | Sparkling Water",PWJ-102,9,,No,Yes,No,0.5,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1755517180_9fa9d1cb-b37a-4f70-8f04-b19e02133045.jpg,"مياه غازية | الروضتين",
9d36481f-b3fc-468b-b1c4-f11f1ed83980,"Multi Mixed Nuts",PSN-133,10,,No,Yes,No,0.35,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1753620990_9f7dab9e-f8cc-48b2-be34-cfdc02724fd2.jpg,,
9d3647a3-e3d7-4aee-9dc0-183ee0ba6ef0,"Be kind | 40g",PSN-102,10,,No,Yes,No,1,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1728568343_9d365e36-08db-494f-9cf6-81894b438bc7.jpg,"بي كايند - 40غ",
9d12238c-dc6e-487e-a2dd-0a7ff6d3d6c1,"Pistachio Oat Cookie",PSN-163,10,,No,Yes,No,1.35,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1727012371_9d1223e3-eac6-4199-a819-2cf9649576b2.png,"كوكيز الشوفان بالفستق",
9cb39f81-017e-4cc6-ac8a-ace3bf29e963,"Coffee Beans | Classic Blend 250g",659657707797,12,,No,Yes,No,6,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1729079179_9d424307-2429-41e3-8164-d5fdaee3bdf2.jpg,"بن قهوة - كلاسيك روست 250غ",
9cb18994-e7fd-415e-8606-4f8f4ff72bcc,"Upside Down Cheesecake",PSN-161,10,,No,Yes,No,2.25,,,,,,,No,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1722863441_9cb18a57-30f0-48a5-9893-7facb700683e.png,"تشيز كيك المقلوبة",
