         table_name          | table_schema |           column_name            | ordinal_position |        data_type         | is_nullable |                    column_default                     
 categories                  | public       | deleted                          |               10 | boolean                  | NO          | false
 device_activation_codes     | catalog      | code                             |                1 | text                     | NO          | 
 device_activation_codes     | catalog      | tenant_id                        |                2 | uuid                     | NO          | 
 device_activation_codes     | catalog      | created_at                       |                3 | timestamp with time zone | NO          | now()
 device_activation_codes     | catalog      | expires_at                       |                4 | timestamp with time zone | NO          | 
 device_activation_codes     | catalog      | claimed_at                       |                5 | timestamp with time zone | YES         | 
 device_activation_codes     | catalog      | device_id                        |                6 | uuid                     | YES         | 
 device_activation_codes     | catalog      | meta                             |                7 | jsonb                    | NO          | '{}'::jsonb
 device_activation_codes     | catalog      | status                           |                8 | USER-DEFINED             | NO          | 'pending'::device_activation_status
 device_activation_codes     | catalog      | role                             |                9 | USER-DEFINED             | YES         | 
 device_activation_codes     | public       | code                             |                1 | text                     | NO          | 
 device_activation_codes     | public       | tenant_id                        |                2 | uuid                     | NO          | 
 device_activation_codes     | public       | created_at                       |                3 | timestamp with time zone | NO          | now()
 device_activation_codes     | public       | expires_at                       |                4 | timestamp with time zone | NO          | 
 device_activation_codes     | public       | claimed_at                       |                5 | timestamp with time zone | YES         | 
 device_activation_codes     | public       | device_id                        |                6 | uuid                     | YES         | 
 device_activation_codes     | public       | meta                             |                7 | jsonb                    | NO          | '{}'::jsonb
 device_activation_codes     | public       | status                           |                8 | USER-DEFINED             | NO          | 'pending'::device_activation_status
 device_activation_codes     | public       | role                             |                9 | USER-DEFINED             | YES         | 
 device_events               | catalog      | id                               |                1 | uuid                     | NO          | gen_random_uuid()
 device_events               | catalog      | device_id                        |                2 | uuid                     | NO          | 
 device_events               | catalog      | tenant_id                        |                3 | uuid                     | NO          | 
 device_events               | catalog      | event_type                       |                4 | text                     | NO          | 
 device_events               | catalog      | meta                             |                5 | jsonb                    | NO          | '{}'::jsonb
 device_events               | catalog      | created_at                       |                6 | timestamp with time zone | NO          | now()
 device_events               | public       | id                               |                1 | uuid                     | NO          | gen_random_uuid()
 device_events               | public       | device_id                        |                2 | uuid                     | NO          | 
 device_events               | public       | tenant_id                        |                3 | uuid                     | NO          | 
 device_events               | public       | event_type                       |                4 | text                     | NO          | 
 device_events               | public       | meta                             |                5 | jsonb                    | NO          | '{}'::jsonb
 device_events               | public       | created_at                       |                6 | timestamp with time zone | NO          | now()
 devices                     | catalog      | device_id                        |                1 | uuid                     | NO          | gen_random_uuid()
 devices                     | catalog      | tenant_id                        |                2 | uuid                     | NO          | 
 devices                     | catalog      | device_name                      |                3 | text                     | YES         | 
 devices                     | catalog      | role                             |                4 | USER-DEFINED             | NO          | 
 devices                     | catalog      | status                           |                5 | USER-DEFINED             | NO          | 'active'::device_status
 devices                     | catalog      | branch                           |                6 | text                     | YES         | 
 devices                     | catalog      | device_token                     |                7 | text                     | NO          | 
 devices                     | catalog      | activated_at                     |                8 | timestamp with time zone | YES         | 
 devices                     | catalog      | revoked_at                       |                9 | timestamp with time zone | YES         | 
 devices                     | catalog      | last_seen                        |               10 | timestamp with time zone | YES         | 
