         table_name          | table_schema |      column_name       | ordinal_position |        data_type         | is_nullable |                     column_default                     
 devices                     | catalog      | device_id              |                1 | uuid                     | NO          | gen_random_uuid()
 devices                     | catalog      | tenant_id              |                2 | uuid                     | NO          | 
 devices                     | catalog      | device_name            |                3 | text                     | YES         | 
 devices                     | catalog      | role                   |                4 | USER-DEFINED             | NO          | 
 devices                     | catalog      | status                 |                5 | USER-DEFINED             | NO          | 'active'::device_status
 devices                     | catalog      | branch                 |                6 | text                     | YES         | 
 devices                     | catalog      | device_token           |                7 | text                     | NO          | 
 devices                     | catalog      | activated_at           |                8 | timestamp with time zone | YES         | 
 devices                     | catalog      | revoked_at             |                9 | timestamp with time zone | YES         | 
 devices                     | catalog      | last_seen              |               10 | timestamp with time zone | YES         | 
 devices                     | catalog      | meta                   |               11 | jsonb                    | NO          | '{}'::jsonb
 devices                     | catalog      | branch_id              |               12 | uuid                     | YES         | 
 devices                     | catalog      | location               |               13 | text                     | YES         | 
 devices                     | catalog      | short_code             |               14 | character                | YES         | 
 devices                     | catalog      | id                     |               15 | uuid                     | YES         | 
 devices                     | saas         | device_id              |                1 | uuid                     | NO          | gen_random_uuid()
 devices                     | saas         | tenant_id              |                2 | uuid                     | NO          | 
 devices                     | saas         | branch_id              |                3 | uuid                     | YES         | 
 devices                     | saas         | device_name            |                4 | character varying        | NO          | 
 devices                     | saas         | uuid                   |                5 | uuid                     | NO          | gen_random_uuid()
 devices                     | saas         | activation_token       |                6 | character varying        | YES         | 
 devices                     | saas         | status                 |                7 | character varying        | NO          | 'active'::character varying
 devices                     | saas         | expiry_date            |                8 | date                     | YES         | 
 devices                     | saas         | last_checkin           |                9 | timestamp with time zone | YES         | 
 devices                     | saas         | created_at             |               10 | timestamp with time zone | NO          | now()
 devices                     | saas         | updated_at             |               11 | timestamp with time zone | NO          | now()
 devices                     | saas         | deleted_at             |               12 | timestamp with time zone | YES         | 
 drive_thru_state            | catalog      | tenant_id              |                1 | uuid                     | NO          | 
 drive_thru_state            | catalog      | state                  |                2 | jsonb                    | NO          | '{}'::jsonb
 drive_thru_state            | catalog      | updated_at             |                3 | timestamp with time zone | NO          | now()
 drive_thru_state            | public       | tenant_id              |                1 | uuid                     | NO          | 
 drive_thru_state            | public       | state                  |                2 | jsonb                    | NO          | '{}'::jsonb
 drive_thru_state            | public       | updated_at             |                3 | timestamp with time zone | NO          | now()
 drive_thru_state            | saas         | tenant_id              |                1 | uuid                     | NO          | 
 drive_thru_state            | saas         | state                  |                2 | jsonb                    | NO          | '{}'::jsonb
 drive_thru_state            | saas         | updated_at             |                3 | timestamp with time zone | NO          | now()
 integration_sync_runs       | catalog      | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 integration_sync_runs       | catalog      | tenant_id              |                2 | uuid                     | NO          | 
 integration_sync_runs       | catalog      | provider               |                3 | text                     | NO          | 
 integration_sync_runs       | catalog      | started_at             |                4 | timestamp with time zone | NO          | now()
 integration_sync_runs       | catalog      | finished_at            |                5 | timestamp with time zone | YES         | 
 integration_sync_runs       | catalog      | ok                     |                6 | boolean                  | YES         | 
 integration_sync_runs       | catalog      | error                  |                7 | text                     | YES         | 
 integration_sync_runs       | catalog      | stats                  |                8 | jsonb                    | YES         | 
 integration_sync_runs       | catalog      | created_at             |                9 | timestamp with time zone | NO          | now()
 integration_sync_runs       | public       | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 integration_sync_runs       | public       | tenant_id              |                2 | uuid                     | NO          | 
 integration_sync_runs       | public       | provider               |                3 | text                     | NO          | 
 integration_sync_runs       | public       | started_at             |                4 | timestamp with time zone | NO          | now()
 integration_sync_runs       | public       | finished_at            |                5 | timestamp with time zone | YES         | 
 integration_sync_runs       | public       | ok                     |                6 | boolean                  | YES         | 
 integration_sync_runs       | public       | error                  |                7 | text                     | YES         | 
 integration_sync_runs       | public       | stats                  |                8 | jsonb                    | YES         | 
 integration_sync_runs       | public       | created_at             |                9 | timestamp with time zone | NO          | now()
 integration_sync_runs       | saas         | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 integration_sync_runs       | saas         | tenant_id              |                2 | uuid                     | NO          | 
 integration_sync_runs       | saas         | provider               |                3 | text                     | NO          | 
 integration_sync_runs       | saas         | started_at             |                4 | timestamp with time zone | NO          | now()
 integration_sync_runs       | saas         | finished_at            |                5 | timestamp with time zone | YES         | 
 integration_sync_runs       | saas         | ok                     |                6 | boolean                  | YES         | 
 integration_sync_runs       | saas         | error                  |                7 | text                     | YES         | 
 integration_sync_runs       | saas         | stats                  |                8 | jsonb                    | YES         | 
 integration_sync_runs       | saas         | created_at             |                9 | timestamp with time zone | NO          | now()
 invites                     | catalog      | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 invites                     | catalog      | tenant_id              |                2 | uuid                     | NO          | 
 invites                     | catalog      | email                  |                3 | text                     | NO          | 
 invites                     | catalog      | role                   |                4 | USER-DEFINED             | NO          | 'viewer'::tenant_role
 invites                     | catalog      | token                  |                5 | text                     | NO          | 
 invites                     | catalog      | created_at             |                6 | timestamp with time zone | NO          | now()
 invites                     | catalog      | expires_at             |                7 | timestamp with time zone | NO          | 
 invites                     | catalog      | redeemed_at            |                8 | timestamp with time zone | YES         | 
 invites                     | public       | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 invites                     | public       | tenant_id              |                2 | uuid                     | NO          | 
 invites                     | public       | email                  |                3 | text                     | NO          | 
 invites                     | public       | role                   |                4 | USER-DEFINED             | NO          | 'viewer'::tenant_role
 invites                     | public       | token                  |                5 | text                     | NO          | 
 invites                     | public       | created_at             |                6 | timestamp with time zone | NO          | now()
 invites                     | public       | expires_at             |                7 | timestamp with time zone | NO          | 
 invites                     | public       | redeemed_at            |                8 | timestamp with time zone | YES         | 
 invites                     | saas         | id                     |                1 | uuid                     | NO          | gen_random_uuid()
 invites                     | saas         | tenant_id              |                2 | uuid                     | NO          | 
 invites                     | saas         | email                  |                3 | text                     | NO          | 
 invites                     | saas         | role                   |                4 | USER-DEFINED             | NO          | 'viewer'::tenant_role
 invites                     | saas         | token                  |                5 | text                     | NO          | 
